 上级选项                权限名称              显示名称                 路由
 
配置管理              config.hundred          百人场配置              admin.hundred
百人场配置            config.hundred.save      修改保存               admin.hundred.save
百人场配置            config.hundred.send       发送                  admin.hundred.send


配置管理              config.complaint        举报方式配置            admin.complaint
举报方式配置          config.complaint.save    修改保存               admin.complaint.save


配置管理  		config.fishrate		扑鱼GM控制	      admin.fishrate
扑鱼GM控制 		config.fishrate.edit	编辑		      admin.fishrate.edit



配置管理  		config.fishplayer	捕鱼-个人命中系数控制	admin.fishplayer
捕鱼-个人命中系数控制	config.fishplayer.save	保存添加		admin.fishplayer.save
捕鱼-个人命中系数控制	config.fishplayer.send	发送			admin.fishplayer.send

配置管理		config.fishstore	捕鱼-库存控制		admin.fishstore
捕鱼-库存控制		config.fishstore.save	保存			admin.fishstore.save
捕鱼-库存控制		config.fishstore.send	发送			admin.fishstore.send

配置管理		operate.brnn		百人牛牛机器人控制		admin.brnn
 百人牛牛机器人配置更新		admin.brnn.store	更新			admin.fishstore.save
 发送百人牛牛机器人配置		admin.brnn.send	    发送			admin.fishstore.save

运营管理		operate.order		订单管理		admin.order
订单管理 		operate.order.orderadd	人工订单添加		admin.order.orderadd
  
运营管理		operate.record		牌局记录		admin.record

运营管理		operate.fish		捕鱼统计		admin.fish

运营管理		operate.note		短信配置		admin.note
 设置生效		admin.note.set	    设置			admin.note.set

运营管理		operate.raetotal		充值和兑换统计		admin.raetotal

运营管理		operate.oactotal		产出与消耗		admin.oactotal

运营管理		operate.goldrecord		流水查询		admin.goldrecord


